Nº,Date,Time,Country,League,Home,Away,Odds_H,Odds_D,Odds_A,Pred_H,Pred_A
11,2024-01-20,16:45,BELGIUM,JUPILER PRO LEAGUE - ROUND 21,Club Brugge,Westerlo,1.20,6.50,13.00,0.64,0.36
2,2024-01-20,14:30,ENGLAND,PREMIER LEAGUE - ROUND 21,Brentford,Nottingham Forest,1.78,3.90,4.80,0.74,0.26
3,2024-01-20,14:30,GERMANY,BUNDESLIGA - ROUND 18,RB Leipzig,Bayer Leverkusen,2.50,3.75,2.70,0.59,0.41
4,2024-01-20,16:45,ITALY,SERIE A - ROUND 21,Udinese,Milan,4.25,3.70,1.82,0.43,0.57
5,2024-01-20,14:45,NETHERLANDS,EREDIVISIE - ROUND 18,Heracles Almelo,Volendam,1.68,4.15,4.70,0.48,0.52
6,2024-01-20,16:00,NETHERLANDS,EREDIVISIE - ROUND 18,AZ Alkmaar,Zwolle,1.33,5.35,8.70,0.82,0.18
7,2024-01-20,17:00,NETHERLANDS,EREDIVISIE - ROUND 18,Almere City,Fortuna Sittard,2.42,3.35,2.95,0.69,0.31
69,2024-01-20,15:00,PORTUGAL,LIGA PORTUGAL - ROUND 18,Casa Pia,Farense,2.20,3.20,3.40,0.65,0.35
70,2024-01-20,17:30,PORTUGAL,LIGA PORTUGAL - ROUND 18,Porto,Moreirense,1.38,4.75,8.00,0.93,0.07
8,2024-01-20,14:30,SPAIN,LALIGA - ROUND 21,Valencia,Athletic Club,3.50,3.25,2.25,0.48,0.52
9,2024-01-20,17:00,SPAIN,LALIGA - ROUND 21,Celta Vigo,Real Sociedad,3.00,3.00,2.65,0.4,0.6
125,2024-01-21,04:00,AUSTRALIA,A-LEAGUE - ROUND 13,Central Coast Mariners,Melbourne City,2.30,3.75,2.80,0.46,0.54
130,2024-01-21,09:30,BELGIUM,JUPILER PRO LEAGUE - ROUND 21,Antwerp,Charleroi,1.66,4.00,5.00,0.72,0.28
131,2024-01-21,12:00,BELGIUM,JUPILER PRO LEAGUE - ROUND 21,Union SG,Sint Truiden,1.36,5.00,8.00,0.84,0.16
132,2024-01-21,14:30,BELGIUM,JUPILER PRO LEAGUE - ROUND 21,OH Leuven,Anderlecht,4.75,4.20,1.63,0.55,0.45
133,2024-01-21,15:15,BELGIUM,JUPILER PRO LEAGUE - ROUND 21,RWD Molenbeek,Eupen,1.90,3.75,3.75,0.72,0.28
103,2024-01-21,11:00,ENGLAND,PREMIER LEAGUE - ROUND 21,Sheffield United,West Ham United,3.50,3.45,2.18,0.49,0.51
104,2024-01-21,13:30,ENGLAND,PREMIER LEAGUE - ROUND 21,Bournemouth,Liverpool,4.35,4.40,1.75,0.32,0.68
105,2024-01-21,11:30,GERMANY,BUNDESLIGA - ROUND 18,Bayern Munich,Werder Bremen,1.09,12.00,29.00,0.89,0.11
106,2024-01-21,13:30,GERMANY,BUNDESLIGA - ROUND 18,Monchengladbach,Augsburg,1.95,4.00,3.60,0.8,0.2
107,2024-01-21,08:30,ITALY,SERIE A - ROUND 21,Frosinone,Cagliari,2.38,3.45,2.92,0.55,0.45
108,2024-01-21,11:00,ITALY,SERIE A - ROUND 21,Empoli,Monza,2.75,3.35,2.55,0.45,0.55
109,2024-01-21,14:00,ITALY,SERIE A - ROUND 21,Salernitana,Genoa,3.55,3.20,2.18,0.58,0.42
110,2024-01-21,16:45,ITALY,SERIE A - ROUND 21,Lecce,Juventus,5.40,3.70,1.68,0.38,0.62
111,2024-01-21,08:15,NETHERLANDS,EREDIVISIE - ROUND 18,Utrecht,PSV Eindhoven,8.90,5.45,1.32,0.31,0.69
112,2024-01-21,10:30,NETHERLANDS,EREDIVISIE - ROUND 18,Sparta Rotterdam,Go Ahead Eagles,2.12,3.70,3.15,0.65,0.35
113,2024-01-21,10:30,NETHERLANDS,EREDIVISIE - ROUND 18,Vitesse,Feyenoord,12.50,6.90,1.21,0.34,0.66
114,2024-01-21,12:45,NETHERLANDS,EREDIVISIE - ROUND 18,Ajax,RKC Waalwijk,1.25,6.40,10.50,0.81,0.19
273,2024-01-21,12:30,PORTUGAL,LIGA PORTUGAL - ROUND 18,Portimonense,Gil Vicente FC,2.45,3.40,2.80,0.61,0.39
274,2024-01-21,15:00,PORTUGAL,LIGA PORTUGAL - ROUND 18,Chaves,Rio Ave,3.10,3.40,2.25,0.61,0.39
275,2024-01-21,17:30,PORTUGAL,LIGA PORTUGAL - ROUND 18,Vitoria Guimaraes,Estrela,1.60,4.00,5.50,0.76,0.24
115,2024-01-21,10:00,SPAIN,LALIGA - ROUND 21,Osasuna,Getafe,2.30,3.10,3.60,0.66,0.34
116,2024-01-21,12:15,SPAIN,LALIGA - ROUND 21,Real Madrid,Almeria,1.16,8.50,17.00,0.89,0.11
117,2024-01-21,14:30,SPAIN,LALIGA - ROUND 21,Real Betis,Barcelona,4.00,4.00,1.85,0.43,0.57
118,2024-01-21,17:00,SPAIN,LALIGA - ROUND 21,Girona,Sevilla,1.72,4.00,4.75,0.57,0.43
344,2024-01-22,16:45,ENGLAND,PREMIER LEAGUE - ROUND 21,Brighton and Hove Albion,Wolverhampton Wanderers,1.62,4.45,5.25,0.76,0.24
345,2024-01-22,17:00,SPAIN,LALIGA - ROUND 21,Granada CF,Atletico Madrid,4.75,4.00,1.72,,
