Nº,Date,Time,Country,League,Home,Away,Odds_H_X,Odds_H_A,Odds_X_A,Pred_H,Pred_A
10,2024-01-26,16:45,BELGIUM,JUPILER PRO LEAGUE - ROUND 22,Cercle Brugge,Standard Liege,1.12,1.17,2.55,0.62,0.38
1,2024-01-26,17:00,FRANCE,LIGUE 1 - ROUND 19,Lyon,Rennes,1.44,1.28,1.58,0.54,0.46
2,2024-01-26,16:30,GERMANY,BUNDESLIGA - ROUND 19,Eintracht Frankfurt,Mainz 05,1.36,1.28,1.68,0.62,0.38
3,2024-01-26,16:45,ITALY,SERIE A - ROUND 22,Cagliari,Torino,1.65,1.33,1.32,0.47,0.53
4,2024-01-26,16:00,NETHERLANDS,EREDIVISIE - ROUND 19,Zwolle,Vitesse,1.35,1.25,1.75,0.58,0.42
5,2024-01-26,17:00,SPAIN,LALIGA - ROUND 22,Almeria,Alaves,1.48,1.33,1.45,0.62,0.38
87,2024-01-27,03:00,AUSTRALIA,A-LEAGUE - ROUND 14,Western United,Western Sydney Wanderers,1.70,1.20,1.40,0.46,0.54
88,2024-01-27,04:00,AUSTRALIA,A-LEAGUE - ROUND 14,Newcastle Jets,Wellington Phoenix,1.44,1.20,1.65,0.49,0.51
89,2024-01-27,05:45,AUSTRALIA,A-LEAGUE - ROUND 14,Central Coast Mariners,Brisbane Roar,1.09,1.12,3.00,0.75,0.25
95,2024-01-27,12:00,BELGIUM,JUPILER PRO LEAGUE - ROUND 22,Kortrijk,OH Leuven,1.60,1.25,1.44,0.4,0.6
96,2024-01-27,16:45,BELGIUM,JUPILER PRO LEAGUE - ROUND 22,Charleroi,Club Brugge,2.60,1.17,1.12,0.29,0.71
97,2024-01-27,16:45,BELGIUM,JUPILER PRO LEAGUE - ROUND 22,Gent,Westerlo,1.10,1.14,2.90,0.64,0.36
62,2024-01-27,13:00,FRANCE,LIGUE 1 - ROUND 19,Nice,Metz,1.06,1.18,2.90,0.81,0.19
63,2024-01-27,17:00,FRANCE,LIGUE 1 - ROUND 19,Marseille,Monaco,1.47,1.24,1.60,0.62,0.38
64,2024-01-27,11:30,GERMANY,BUNDESLIGA - ROUND 19,Augsburg,Bayern Munich,3.50,1.11,1.04,0.36,0.64
65,2024-01-27,11:30,GERMANY,BUNDESLIGA - ROUND 19,Hoffenheim,Heidenheim,1.22,1.19,2.20,0.56,0.44
66,2024-01-27,11:30,GERMANY,BUNDESLIGA - ROUND 19,Stuttgart,RB Leipzig,1.58,1.24,1.48,0.39,0.61
67,2024-01-27,11:30,GERMANY,BUNDESLIGA - ROUND 19,Werder Bremen,Freiburg,1.42,1.25,1.63,0.37,0.63
68,2024-01-27,11:30,GERMANY,BUNDESLIGA - ROUND 19,Wolfsburg,Koln,1.24,1.22,2.00,0.66,0.34
69,2024-01-27,14:30,GERMANY,BUNDESLIGA - ROUND 19,Bayer Leverkusen,Monchengladbach,1.02,1.09,3.75,0.7,0.3
70,2024-01-27,11:00,ITALY,SERIE A - ROUND 22,Atalanta,Udinese,1.11,1.17,2.65,0.78,0.22
71,2024-01-27,14:00,ITALY,SERIE A - ROUND 22,Juventus,Empoli,1.03,1.11,3.60,0.84,0.16
72,2024-01-27,16:45,ITALY,SERIE A - ROUND 22,Milan,Bologna,1.18,1.24,2.15,0.72,0.28
73,2024-01-27,14:45,NETHERLANDS,EREDIVISIE - ROUND 19,RKC Waalwijk,Sparta Rotterdam,1.50,1.25,1.55,0.34,0.66
74,2024-01-27,17:00,NETHERLANDS,EREDIVISIE - ROUND 19,Excelsior,Utrecht,1.70,1.25,1.38,0.26,0.74
75,2024-01-27,17:00,NETHERLANDS,EREDIVISIE - ROUND 19,Heracles Almelo,Ajax,2.80,1.14,1.11,0.33,0.67
76,2024-01-27,10:00,SPAIN,LALIGA - ROUND 22,Real Sociedad,Rayo Vallecano,1.13,1.24,2.30,0.74,0.26
77,2024-01-27,12:15,SPAIN,LALIGA - ROUND 22,Las Palmas,Real Madrid,2.75,1.17,1.10,0.27,0.73
78,2024-01-27,14:30,SPAIN,LALIGA - ROUND 22,Barcelona,Villarreal,1.05,1.10,3.40,0.77,0.23
79,2024-01-27,17:00,SPAIN,LALIGA - ROUND 22,Mallorca,Real Betis,1.32,1.33,1.65,0.57,0.43
