,Nº,Date,Time,Country,League,Home,Away,Odds_H,Odds_D,Odds_A,Pred_H,Pred_A
0,37,2024-01-28,03:00,AUSTRALIA,A-LEAGUE - ROUND 14,Macarthur FC,Perth Glory,1.85,4.20,3.60,0.49,0.51
1,3,2024-01-28,09:00,FRANCE,LIGUE 1 - ROUND 19,Montpellier,Lille,3.70,3.55,1.98,0.44,0.56
2,4,2024-01-28,11:00,FRANCE,LIGUE 1 - ROUND 19,Clermont Foot,Strasbourg,2.82,3.25,2.58,0.66,0.34
3,5,2024-01-28,11:00,FRANCE,LIGUE 1 - ROUND 19,Lorient,Le Havre,2.88,3.15,2.58,0.75,0.25
4,6,2024-01-28,11:00,FRANCE,LIGUE 1 - ROUND 19,Reims,Nantes,1.80,3.70,4.40,0.75,0.25
5,7,2024-01-28,13:05,FRANCE,LIGUE 1 - ROUND 19,Toulouse,Lens,3.55,3.55,2.02,0.35,0.65
6,8,2024-01-28,16:45,FRANCE,LIGUE 1 - ROUND 19,PSG,Brest,1.34,5.35,8.20,,
7,9,2024-01-28,11:30,GERMANY,BUNDESLIGA - ROUND 19,Union Berlin,Darmstadt,1.70,4.00,5.00,,
8,10,2024-01-28,13:30,GERMANY,BUNDESLIGA - ROUND 19,Dortmund,Bochum,1.36,5.50,8.00,0.92,0.08
9,11,2024-01-28,08:30,ITALY,SERIE A - ROUND 22,Genoa,Lecce,2.08,3.15,3.95,0.59,0.41
10,12,2024-01-28,11:00,ITALY,SERIE A - ROUND 22,Monza,Sassuolo,2.22,3.45,3.15,0.62,0.38
11,13,2024-01-28,11:00,ITALY,SERIE A - ROUND 22,Hellas Verona,Frosinone,2.42,3.45,2.85,0.59,0.41
12,14,2024-01-28,14:00,ITALY,SERIE A - ROUND 22,Lazio,Napoli,2.28,3.15,3.35,0.61,0.39
13,15,2024-01-28,16:45,ITALY,SERIE A - ROUND 22,Fiorentina,Internazionale,3.95,3.70,1.90,0.45,0.55
14,16,2024-01-28,08:15,NETHERLANDS,EREDIVISIE - ROUND 19,Heerenveen,AZ Alkmaar,3.35,3.70,2.08,0.54,0.46
15,17,2024-01-28,10:30,NETHERLANDS,EREDIVISIE - ROUND 19,Feyenoord,Twente,1.47,4.70,6.40,0.64,0.36
16,18,2024-01-28,10:30,NETHERLANDS,EREDIVISIE - ROUND 19,Go Ahead Eagles,NEC Nijmegen,2.12,3.70,3.20,0.5,0.5
17,19,2024-01-28,12:45,NETHERLANDS,EREDIVISIE - ROUND 19,Volendam,Fortuna Sittard,3.20,3.55,2.18,0.54,0.46
18,20,2024-01-28,10:00,SPAIN,LALIGA - ROUND 22,Celta Vigo,Girona,2.85,3.60,2.45,0.5,0.5
19,21,2024-01-28,12:15,SPAIN,LALIGA - ROUND 22,Cadiz,Athletic Club,5.00,3.75,1.72,0.41,0.59
20,22,2024-01-28,14:30,SPAIN,LALIGA - ROUND 22,Sevilla,Osasuna,2.15,3.40,3.60,0.49,0.51
21,23,2024-01-28,17:00,SPAIN,LALIGA - ROUND 22,Atletico Madrid,Valencia,1.55,4.33,6.00,0.79,0.21
