Date,League,Home,Away,Odds_H,Odds_A,Odds_H_X,Odds_X_A,Pred_H,Pred_A,Winning_team,Winning_prob,Winning_bet,Winning_bet_final,bet_type,bet_type_order,date,team,opponent,result,Winning_team_actual,bet_right,bet_right_win_draw
2023-10-01,BUNDESLIGA ,Freiburg,Augsburg,1.72,4.5,1.17,1.17,0.89,0.11,Freiburg,0.89,1.72,1.72,safest_bet,3,2023-10-01,Freiburg,Augsburg,W,Freiburg,1,1
2023-09-20,SERIE A ,Fluminense,Cruzeiro,1.78,4.5,1.17,1.17,0.88,0.12,Fluminense,0.88,1.78,1.78,safest_bet,3,2023-09-20,Fluminense,Cruzeiro,W,Fluminense,1,1
2023-09-24,LIGUE 1 ,Lens,Toulouse,1.65,4.65,1.17,1.17,0.85,0.15,Lens,0.85,1.65,1.65,safest_bet,3,2023-09-24,Lens,Toulouse,W,Lens,1,1
2023-10-29,LIGUE 1 ,Rennes,Strasbourg,1.6,5.4,1.17,1.17,0.84,0.16,Rennes,0.84,1.6,1.17,safest_bet,3,2023-10-29,Rennes,Strasbourg,D,Draw,1,1
2023-10-29,A,Central Coast Mariners,Macarthur FC,1.62,4.75,1.17,1.17,0.84,0.16,Central Coast Mariners,0.84,1.62,1.17,safest_bet,3,2023-10-29,Central Coast Mariners,Macarthur FC,L,Macarthur FC,0,0
2023-11-04,BUNDESLIGA ,Mainz 05,RB Leipzig,5.0,1.62,1.17,1.17,0.16,0.84,RB Leipzig,0.84,1.62,1.17,safest_bet,3,2023-11-04,Mainz 05,RB Leipzig,W,Mainz 05,0,0
2023-09-23,SERIE A ,Lazio,Monza,1.85,4.1,1.17,1.17,0.81,0.19,Lazio,0.81,1.85,1.17,safest_bet,3,2023-09-23,Lazio,Monza,D,Draw,1,1
2023-10-01,JUPILER PRO LEAGUE ,Union SG,Charleroi,1.66,4.75,1.17,1.17,0.81,0.19,Union SG,0.81,1.66,1.17,safest_bet,3,2023-10-01,Union SG,Charleroi,W,Union SG,1,1
2023-11-02,SERIE A ,Sao Paulo,Cruzeiro,1.75,4.75,1.17,1.17,0.81,0.19,Sao Paulo,0.81,1.75,1.17,safest_bet,3,2023-11-02,Sao Paulo,Cruzeiro,W,Sao Paulo,1,1
2023-11-05,JUPILER PRO LEAGUE ,Standard Liege,Mechelen,1.78,4.2,1.17,1.17,0.81,0.19,Standard Liege,0.81,1.78,1.17,safest_bet,3,2023-11-05,Standard Liege,Mechelen,D,Draw,1,1
2023-09-24,JUPILER PRO LEAGUE ,Genk,Sint Truiden,1.63,4.75,1.17,1.17,0.8,0.2,Genk,0.8,1.63,1.17,safest_bet,3,2023-09-24,Genk,Sint Truiden,D,Draw,1,1
2023-11-05,LIGUE 1 ,Lyon,Metz,1.68,4.7,1.17,1.17,0.8,0.2,Lyon,0.8,1.68,1.17,safest_bet,3,2023-11-05,Lyon,Metz,D,Draw,1,1
2023-10-01,JUPILER PRO LEAGUE ,RWD Molenbeek,Gent,5.0,1.63,1.17,1.17,0.32,0.68,Gent,0.68,1.63,1.17,safest_bet,3,2023-10-01,RWD Molenbeek,Gent,D,Draw,1,1
2023-10-29,JUPILER PRO LEAGUE ,Westerlo,Union SG,4.75,1.6,1.17,1.17,0.33,0.67,Union SG,0.67,1.6,1.17,safest_bet,3,2023-10-29,Westerlo,Union SG,L,Union SG,1,1
2023-11-03,LALIGA ,Las Palmas,Atletico Madrid,5.5,1.65,1.17,1.17,0.34,0.66,Atletico Madrid,0.66,1.65,1.17,safest_bet,3,2023-11-03,Las Palmas,Atletico Madrid,W,Las Palmas,0,0
2023-09-25,LIGA PORTUGAL ,Sporting CP,Rio Ave,1.2,15.0,1.17,1.17,0.9,0.1,Sporting CP,0.9,1.2,1.2,safest_bet,3,2023-09-25,Sporting CP,Rio Ave,W,Sporting CP,1,1
2023-10-28,LIGA PORTUGAL ,Benfica,Casa Pia,1.2,15.0,1.17,1.17,0.91,0.09,Benfica,0.91,1.2,1.2,safest_bet,3,2023-10-28,Benfica,Casa Pia,D,Draw,0,1
2023-11-04,EREDIVISIE ,Heracles Almelo,PSV Eindhoven,11.5,1.21,1.17,1.17,0.18,0.82,PSV Eindhoven,0.82,1.21,1.21,safest_bet,3,2023-11-04,Heracles Almelo,PSV Eindhoven,L,PSV Eindhoven,1,1
2023-09-17,LIGA PORTUGAL ,Sporting CP,Moreirense,1.22,13.0,1.17,1.17,0.87,0.13,Sporting CP,0.87,1.22,1.22,safest_bet,3,2023-09-17,Sporting CP,Moreirense,W,Sporting CP,1,1
2023-09-27,LALIGA ,Real Madrid,Las Palmas,1.22,13.0,1.17,1.17,0.94,0.06,Real Madrid,0.94,1.22,1.22,safest_bet,3,2023-09-27,Real Madrid,Las Palmas,W,Real Madrid,1,1
2023-11-05,LIGA PORTUGAL ,Sporting CP,Estrela,1.22,12.0,1.17,1.17,0.89,0.11,Sporting CP,0.89,1.22,1.22,safest_bet,3,2023-11-05,Sporting CP,Estrela,W,Sporting CP,1,1
2023-09-23,EREDIVISIE ,Almere City,PSV Eindhoven,12.0,1.23,1.17,1.17,0.24,0.76,PSV Eindhoven,0.76,1.23,1.23,safest_bet,3,2023-09-23,Almere City,PSV Eindhoven,L,PSV Eindhoven,1,1
2023-09-16,BUNDESLIGA ,RB Leipzig,Augsburg,1.24,12.0,1.17,1.17,0.9,0.1,RB Leipzig,0.9,1.24,1.24,safest_bet,3,2023-09-16,RB Leipzig,Augsburg,W,RB Leipzig,1,1
